Single Langmuir probe analysis: 2026_06_10_SLP_ACQ2
===================================================
Samples available:         22578
Samples fitted:            7661
Voltage range:             -62.76 to 14.79 V
Current range:             -1.0639e-03 to 1.3051e-02 A

Fit model
  I = Is * (1 + R * (V - Vf)) * (exp((V - Vf) / Te) - 1)

Plasma parameters
  Electron temperature Te: 16.5572 eV
  Electron density n:      4.001704e+17 m^-3
  Ion saturation Is:       1.284079e-03 A
  Floating potential Vf:   -38.7983 V
  Plasma potential Vp:     27.9548 V
  R correction:            0.00887099

Derived quantities
  Probe area:              2.010000e-06 m^2
  Ion mass:                4 amu
  Sound speed:             1.992802e+04 m/s
  Alpha:                   4.03165

Fit quality
  R-squared:               0.919007

Fit data
  voltage_V, current_A, fitted_current_A
  -62.75551, -0.000886885, -0.00077325986
  -62.75551, -0.0008163328, -0.00077325986
  -62.75551, -0.0008944584, -0.00077325986
  -62.749055, -0.0009442834, -0.00077322331
  -62.749055, -0.0007700952, -0.00077322331
  -62.749055, -0.0007916196, -0.00077322331
  -62.7426, -0.0008155356, -0.00077318671
  -62.7426, -0.0007099066, -0.00077318671
  -62.7426, -0.000960626, -0.00077318671
  -62.7426, -0.0007896266, -0.00077318671
  -62.7426, -0.0008402488, -0.00077318671
  -62.7426, -0.000611851, -0.00077318671
  -62.7426, -0.0007521582, -0.00077318671
  -62.7426, -0.0006660606, -0.00077318671
  -62.72969, -0.000860976, -0.00077311335
  -62.72969, -0.000691571, -0.00077311335
  -62.72969, -0.000745382, -0.00077311335
  -62.72969, -0.000793214, -0.00077311335
  -62.72969, -0.0007629204, -0.00077311335
  -62.72969, -0.0008135426, -0.00077311335
  -62.72969, -0.0009693952, -0.00077311335
  -62.72969, -0.0007366128, -0.00077311335
  -62.72969, -0.0007796616, -0.00077311335
  -62.723235, -0.0007716896, -0.0007730766
  -62.723235, -0.000845032, -0.0007730766
  -62.723235, -0.0007820532, -0.0007730766
  -62.723235, -0.0008613746, -0.0007730766
  -62.723235, -0.0007924168, -0.0007730766
  -62.723235, -0.0008255006, -0.0007730766
  -62.723235, -0.0006150398, -0.0007730766
  -62.723235, -0.0007728854, -0.0007730766
  -62.723235, -0.0007402002, -0.0007730766
  -62.723235, -0.0007465778, -0.0007730766
  -62.723235, -0.0006967528, -0.0007730766
  -62.723235, -0.0006859906, -0.0007730766
  -62.723235, -0.0008466264, -0.0007730766
  -62.723235, -0.000878913, -0.0007730766
  -62.723235, -0.0008745284, -0.0007730766
  -62.723235, -0.000745382, -0.0007730766
  -62.723235, -0.0008203188, -0.0007730766
  -62.71678, -0.0008801088, -0.0007730398
  -62.71678, -0.0007409974, -0.0007730398
  -62.71678, -0.0008243048, -0.0007730398
  -62.71678, -0.000711501, -0.0007730398
  -62.71678, -0.0007876336, -0.0007730398
  -62.71678, -0.0008637662, -0.0007730398
  -62.71678, -0.000743389, -0.0007730398
  -62.71678, -0.0008825004, -0.0007730398
  -62.71678, -0.0008087594, -0.0007730398
  -62.71678, -0.000793214, -0.0007730398
  -62.71678, -0.0007744798, -0.0007730398
  -62.71678, -0.0007720882, -0.0007730398
  -62.710325, -0.0008613746, -0.00077300295
  -62.710325, -0.0006600816, -0.00077300295
  -62.710325, -0.0007417946, -0.00077300295
  -62.710325, -0.0009263464, -0.00077300295
  -62.710325, -0.0007449834, -0.00077300295
  -62.710325, -0.000685592, -0.00077300295
  -62.710325, -0.000683599, -0.00077300295
  -62.710325, -0.000791221, -0.00077300295
  -62.710325, -0.0007844448, -0.00077300295
  -62.710325, -0.0007960042, -0.00077300295
  -62.710325, -0.0008912696, -0.00077300295
  -62.710325, -0.000860976, -0.00077300295
  -62.710325, -0.0007067178, -0.00077300295
  -62.710325, -0.0008183258, -0.00077300295
  -62.710325, -0.0007780672, -0.00077300295
  -62.710325, -0.0007836476, -0.00077300295
  -62.710325, -0.0007800602, -0.00077300295
  -62.710325, -0.0007820532, -0.00077300295
  -62.70387, -0.0007629204, -0.00077296605
  -62.70387, -0.000799193, -0.00077296605
  -62.70387, -0.000809158, -0.00077296605
  -62.70387, -0.0009658078, -0.00077296605
  -62.70387, -0.0008235076, -0.00077296605
  -62.70387, -0.0008466264, -0.00077296605
  -62.70387, -0.0007987944, -0.00077296605
  -62.70387, -0.0007501652, -0.00077296605
  -62.70387, -0.0006959556, -0.00077296605
  -62.70387, -0.000892864, -0.00077296605
  -62.697415, -0.0008884794, -0.0007729291
  -62.697415, -0.0008199202, -0.0007729291
  -62.697415, -0.0008326754, -0.0007729291
  -62.697415, -0.0007776686, -0.0007729291
  -62.697415, -0.0007079136, -0.0007729291
  -62.697415, -0.000663669, -0.0007729291
  -62.697415, -0.0008733326, -0.0007729291
  -62.697415, -0.000753354, -0.0007729291
  -62.697415, -0.000709508, -0.0007729291
  -62.697415, -0.0008255006, -0.0007729291
  -62.697415, -0.000785242, -0.0007729291
  -62.69096, -0.0006433404, -0.0007728921
  -62.69096, -0.0007437876, -0.0007728921
  -62.69096, -0.000753354, -0.0007728921
  -62.69096, -0.000723459, -0.0007728921
  -62.69096, -0.000705522, -0.0007728921
  -62.69096, -0.0008123468, -0.0007728921
  -62.69096, -0.0008398502, -0.0007728921
  -62.69096, -0.0009582344, -0.0007728921
  -62.69096, -0.0007027318, -0.0007728921
  -62.684505, -0.0006792144, -0.00077285505
  -62.684505, -0.0006210188, -0.00077285505
  -62.684505, -0.0008665564, -0.00077285505
  -62.684505, -0.0007465778, -0.00077285505
  -62.67805, -0.0008243048, -0.00077281795
